iter	MultiClass
0	1.006795204
1	0.9351370391
2	0.8789753669
3	0.8310174245
4	0.7878270888
5	0.7542047001
6	0.726387859
7	0.7030265858
8	0.6816836586
9	0.662221159
10	0.6463522265
11	0.6321502752
12	0.6202461747
13	0.6070576511
14	0.5975766125
15	0.5890197395
16	0.5809623124
17	0.5738607008
18	0.5664221916
19	0.5606685778
20	0.5522216637
21	0.5477076185
22	0.5422898765
23	0.5383755661
24	0.534047936
25	0.5298056991
26	0.5270521492
27	0.5235131181
28	0.5181273052
29	0.5156376677
30	0.5129353049
31	0.5076900596
32	0.5060966766
33	0.5029067921
34	0.5013403762
35	0.4995863927
36	0.4981250847
37	0.4971034164
38	0.4956495004
39	0.4927176336
40	0.4912970188
41	0.4892358612
42	0.4880099557
43	0.4864392325
44	0.4854969409
45	0.4844285454
46	0.4828958221
47	0.4819840877
48	0.4809302952
49	0.4797769833
50	0.4788474164
51	0.4768676259
52	0.4752639319
53	0.4741757125
54	0.4734378697
55	0.4725634464
56	0.4717133321
57	0.4709853717
58	0.4700378905
59	0.4688872738
60	0.468071658
61	0.4675151807
62	0.4668790005
63	0.466278606
64	0.4655671332
65	0.4648110582
66	0.4641024127
67	0.4632974297
68	0.4628252729
69	0.4621762329
70	0.4613827634
71	0.4606644489
72	0.4598568771
73	0.4586526972
74	0.4580315448
75	0.4572891312
76	0.4561558111
77	0.4554598265
78	0.4550260967
79	0.4545194904
80	0.4540795127
81	0.4535355977
82	0.4530267122
83	0.4525118607
84	0.451262996
85	0.4507647935
86	0.4502303697
87	0.4497029356
88	0.4488278076
89	0.4483034011
90	0.447773103
91	0.4473567484
92	0.446689946
93	0.4458316588
94	0.4453018553
95	0.4446852643
96	0.4439744413
97	0.4433550562
98	0.4426612118
99	0.4417006907
100	0.4411163661
101	0.4405303401
102	0.4398361869
103	0.438814068
104	0.4379304856
105	0.4370427501
106	0.4366402738
107	0.4362456085
108	0.4355170686
109	0.4345349319
110	0.433690544
111	0.4332242428
112	0.4324559787
113	0.431803038
114	0.4310744984
115	0.4305180024
116	0.4297015185
117	0.4291286505
118	0.428379116
119	0.4276852408
120	0.4271297958
121	0.4264106985
122	0.4259655956
123	0.4253785529
124	0.4245841492
125	0.4239884038
126	0.4230889244
127	0.4226511314
128	0.4219843137
129	0.4213672302
130	0.4202095066
131	0.4195915295
132	0.4191702482
133	0.4182915876
134	0.4176566485
135	0.4170662506
136	0.4165373503
137	0.4160286313
138	0.4154054161
139	0.4149997014
140	0.4142407539
141	0.4136072585
142	0.413106216
143	0.4125100425
144	0.4119681646
145	0.4115477763
146	0.4111991715
147	0.4103787894
148	0.4099198962
149	0.4095207253
150	0.408789166
151	0.4082530462
152	0.4078096067
153	0.4072283338
154	0.4065085606
155	0.4058855943
156	0.4052020235
157	0.4047671705
158	0.4043009197
159	0.4038529436
160	0.4033788744
161	0.4025692831
162	0.4021204492
163	0.4017030183
164	0.4013739871
165	0.4008616672
166	0.4003523066
167	0.3998568914
168	0.3994694863
169	0.3989737971
170	0.3983949464
171	0.3978448155
172	0.3973627634
173	0.396655254
174	0.3962760672
175	0.3959295997
176	0.3953995981
177	0.3947777996
178	0.394302466
179	0.3939020386
180	0.3935108986
181	0.3929905055
182	0.3925015499
183	0.3921618788
184	0.3917437166
185	0.3911816038
186	0.3907084566
187	0.3903001577
188	0.3898489221
189	0.3893348427
190	0.3887731159
191	0.3883118276
192	0.3879818432
193	0.3874866848
194	0.3870290055
195	0.3865826929
196	0.3861127384
197	0.3857326154
198	0.3853725192
199	0.3850598266
