iter	Passed	Remaining
0	12	2528
1	24	2416
2	34	2283
3	45	2245
4	56	2194
5	67	2169
6	79	2179
7	89	2153
8	100	2131
9	110	2093
10	121	2080
11	131	2054
12	140	2025
13	148	1969
14	155	1923
15	163	1882
16	172	1855
17	180	1820
18	187	1789
19	196	1766
20	204	1740
21	211	1715
22	219	1689
23	227	1668
24	234	1644
25	243	1628
26	251	1609
27	259	1594
28	267	1576
29	275	1562
30	283	1546
31	291	1531
32	300	1521
33	309	1508
34	317	1496
35	325	1481
36	333	1467
37	341	1456
38	349	1444
39	357	1431
40	366	1419
41	374	1409
42	382	1397
43	390	1384
44	399	1374
45	406	1361
46	414	1348
47	423	1340
48	431	1330
49	439	1318
50	447	1306
51	455	1296
52	463	1286
53	471	1275
54	479	1265
55	487	1253
56	496	1244
57	504	1234
58	513	1225
59	521	1216
60	529	1206
61	537	1197
62	546	1188
63	554	1178
64	562	1168
65	571	1161
66	580	1152
67	588	1141
68	596	1132
69	604	1123
70	613	1113
71	621	1105
72	630	1096
73	638	1087
74	646	1078
75	655	1069
76	663	1059
77	670	1048
78	679	1040
79	687	1030
80	695	1021
81	703	1012
82	712	1004
83	720	995
84	728	985
85	737	977
86	746	969
87	754	960
88	763	951
89	771	942
90	779	933
91	787	924
92	795	914
93	803	906
94	812	897
95	820	889
96	828	880
97	836	870
98	845	862
99	854	854
100	863	845
101	871	837
102	879	828
103	887	819
104	896	810
105	904	802
106	913	793
107	921	785
108	930	776
109	939	768
110	947	759
111	956	751
112	964	742
113	973	734
114	981	725
115	990	717
116	998	708
117	1007	699
118	1015	691
119	1023	682
120	1032	674
121	1040	665
122	1049	656
123	1057	648
124	1065	639
125	1074	631
126	1082	622
127	1091	613
128	1099	605
129	1108	596
130	1116	587
131	1124	579
132	1133	570
133	1141	562
134	1150	553
135	1158	545
136	1167	536
137	1176	528
138	1183	519
139	1192	511
140	1201	502
141	1209	493
142	1217	485
143	1225	476
144	1233	468
145	1242	459
146	1250	450
147	1258	442
148	1267	433
149	1276	425
150	1284	416
151	1292	408
152	1300	399
153	1308	390
154	1317	382
155	1325	373
156	1336	366
157	1346	358
158	1355	349
159	1364	341
160	1372	332
161	1379	323
162	1388	315
163	1396	306
164	1404	298
165	1413	289
166	1421	280
167	1429	272
168	1438	263
169	1447	255
170	1455	246
171	1463	238
172	1471	229
173	1478	220
174	1487	212
175	1495	203
176	1503	195
177	1512	186
178	1520	178
179	1527	169
180	1535	161
181	1543	152
182	1552	144
183	1561	135
184	1569	127
185	1576	118
186	1585	110
187	1593	101
188	1601	93
189	1610	84
190	1618	76
191	1625	67
192	1634	59
193	1642	50
194	1650	42
195	1659	33
196	1667	25
197	1675	16
198	1683	8
199	1692	0
